,ID,SMILES,"Tg, K",METHOD ID,METHOD NAME
218,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,572.0,7,"Tg (DSC), K"
219,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,693.0,9,"Tg (unknown method), K"
220,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,643.0,10,"Tsoft, K"
221,85,Ic1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,649.0,11,"Tg, K  (calc)"
222,90,Ic1ccc(cc1)C(=O)c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,697.0,1,"Tg (TMA), K, (exp), Air, 300˚C"
223,90,Ic1ccc(cc1)C(=O)c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,653.0,2,"Tg (TMA), K, (exp), Vacuum 300C"
224,90,Ic1ccc(cc1)C(=O)c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,685.0,4,"Tg (TMA), K, (exp) unknown conditions"
225,90,Ic1ccc(cc1)C(=O)c1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,699.0,11,"Tg, K  (calc)"
226,91,Ic1cccc(c1)C(=O)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,594.0,1,"Tg (TMA), K, (exp), Air, 300˚C"
227,91,Ic1cccc(c1)C(=O)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,591.0,1,"Tg (TMA), K, (exp), Air, 300˚C"
228,91,Ic1cccc(c1)C(=O)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,594.0,2,"Tg (TMA), K, (exp), Vacuum 300C"
229,91,Ic1cccc(c1)C(=O)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,591.0,11,"Tg, K  (calc)"
230,93,Ic1ccc(cc1)Cc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,613.0,1,"Tg (TMA), K, (exp), Air, 300˚C"
231,93,Ic1ccc(cc1)Cc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,611.0,1,"Tg (TMA), K, (exp), Air, 300˚C"
232,93,Ic1ccc(cc1)Cc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,629.0,2,"Tg (TMA), K, (exp), Vacuum 300C"
233,93,Ic1ccc(cc1)Cc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,630.0,3,"Tg (TMA), K, (exp),  N2 300 C"
234,93,Ic1ccc(cc1)Cc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,675.0,5,"Tg (TBA), K, (exp),  N2 300 C"
235,93,Ic1ccc(cc1)Cc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)I,581.0,7,"Tg (DSC), K"
