,ID,SMILES,"Tg, K",METHOD ID,METHOD NAME
117,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,567.0,6,"Tg (DTMA), K"
118,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,561.0,7,"Tg (DSC), K"
119,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,564.0,7,"Tg (DSC), K"
120,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,564.0,7,"Tg (DSC), K"
121,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,572.0,7,"Tg (DSC), K"
122,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,572.0,7,"Tg (DSC), K"
123,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,577.0,7,"Tg (DSC), K"
124,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,569.0,7,"Tg (DSC), K"
125,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,568.0,7,"Tg (DSC), K"
126,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,558.0,7,"Tg (DSC), K"
127,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,572.0,9,"Tg (unknown method), K"
128,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,572.0,9,"Tg (unknown method), K"
129,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,561.0,9,"Tg (unknown method), K"
130,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,583.0,9,"Tg (unknown method), K"
131,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,572.0,9,"Tg (unknown method), K"
132,60,Ic1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,556.0,11,"Tg, K  (calc)"
133,61,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,540.0,4,"Tg (TMA), K, (exp) unknown conditions"
134,61,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,502.0,7,"Tg (DSC), K"
135,61,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,543.0,9,"Tg (unknown method), K"
136,61,Ic1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,522.0,11,"Tg, K  (calc)"
137,62,Ic1ccc(cc1)Sc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,556.0,7,"Tg (DSC), K"
138,62,Ic1ccc(cc1)Sc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,541.0,11,"Tg, K  (calc)"
139,63,Ic1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,548.0,4,"Tg (TMA), K, (exp) unknown conditions"
140,63,Ic1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,569.0,6,"Tg (DTMA), K"
141,63,Ic1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,570.0,7,"Tg (DSC), K"
142,63,Ic1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,559.0,7,"Tg (DSC), K"
143,63,Ic1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,564.0,7,"Tg (DSC), K"
144,63,Ic1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,567.0,11,"Tg, K  (calc)"
145,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,548.0,7,"Tg (DSC), K"
146,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,548.0,7,"Tg (DSC), K"
147,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,571.0,7,"Tg (DSC), K"
148,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,563.0,7,"Tg (DSC), K"
149,64,Ic1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)I,574.0,7,"Tg (DSC), K"
